Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E4_iter44,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter45,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter46,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter47,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter48,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter49,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter0,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter1,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter2,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter3,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter4,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter5,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter6,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter7,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter8,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter9,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter10,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter11,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter12,799.6e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter13,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter14,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter15,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter16,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter17,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter18,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter19,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter20,799.5e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter21,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter22,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter23,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter24,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter25,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter26,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter27,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter28,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter29,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter30,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter31,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter32,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter33,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter34,799.5e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter35,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter36,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter37,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter38,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter39,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter40,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter41,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter42,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter43,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter44,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter45,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter46,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter47,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter48,800e-3,,,
yg9bq_DDPUF_128_mc_1,E5_iter49,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter0,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter1,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter2,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter3,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter4,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter5,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter6,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter7,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter8,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter9,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter10,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter11,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter12,800.5e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter13,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter14,800.2e-3,,,
