mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
331,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
332,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
333,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
334,1.0,1.0,1.0,0.0,2.0,1.816,2.0,6.0,0.006
335,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
336,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
337,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
338,1.0,1.0,1.0,0.0,2.0,1.938,2.0,3.0,0.016
339,0.0,1.0,1.0,0.0,2.0,1.974,2.0,6.0,0.038
340,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
341,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
342,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
343,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
344,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
345,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
346,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
347,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
348,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
349,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
351,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
352,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
353,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
354,0.0,1.0,1.0,0.0,1.0,1.004,1.0,2.0,0.0
355,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
356,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
357,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
358,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
359,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
360,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
361,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
